Datetime,CH4_ppm
2/22/17 3:34,2.40366
2/22/17 3:35,2.45236
2/22/17 3:36,2.46874
2/22/17 3:37,2.46044
2/22/17 3:38,2.47095
2/22/17 3:39,2.44212
2/22/17 3:40,2.45849
2/22/17 3:41,2.48521
2/22/17 3:42,2.46113
2/22/17 3:43,2.50215
2/22/17 3:44,2.46565
2/22/17 3:45,2.42581
2/22/17 3:46,2.44473
2/22/17 3:47,2.53156
2/22/17 3:48,2.56444
2/22/17 3:49,2.53709
2/22/17 3:50,2.51425
2/22/17 3:51,2.44437
2/22/17 3:52,2.43943
2/22/17 3:53,2.44142
2/22/17 3:54,2.44935
2/22/17 3:55,2.45503
2/22/17 3:56,2.45807
2/22/17 3:57,2.54685
2/22/17 3:58,2.56044
2/22/17 3:59,2.55493
2/22/17 4:00,2.57672
2/22/17 4:01,2.62752
2/22/17 4:02,2.62802
2/22/17 4:03,2.61198
2/22/17 4:04,2.58902
2/22/17 4:05,2.56281
2/22/17 4:06,2.58276
2/22/17 4:07,2.58423
2/22/17 4:08,2.52698
2/22/17 4:09,2.51565
2/22/17 4:10,2.49661
2/22/17 4:11,2.46203
2/22/17 4:12,2.47361
2/22/17 4:13,2.47009
2/22/17 4:14,2.44743
2/22/17 4:15,2.44786
2/22/17 4:16,2.44878
2/22/17 4:17,2.44639
2/22/17 4:18,2.45144
2/22/17 4:19,2.47228
2/22/17 4:20,2.46119
2/22/17 4:21,2.44541
2/22/17 4:22,2.45575
2/22/17 4:23,2.46054
2/22/17 4:24,2.47516
2/22/17 4:25,2.47257
2/22/17 4:26,2.45159
2/22/17 4:27,2.44522
2/22/17 4:28,2.46302
2/22/17 4:29,2.45382
2/22/17 4:30,2.46134
2/22/17 4:31,2.46712
2/22/17 4:32,2.45102
2/22/17 4:33,2.46526
2/22/17 4:34,2.51944
2/22/17 4:35,2.54976
2/22/17 4:36,2.58111
2/22/17 4:37,2.58257
2/22/17 4:38,2.58763
2/22/17 4:39,2.62849
2/22/17 4:40,2.58949
2/22/17 4:41,2.58037
2/22/17 4:42,2.6036
2/22/17 4:43,2.61444
2/22/17 4:44,2.61491
2/22/17 4:45,2.62663
2/22/17 4:46,2.60027
2/22/17 4:47,2.65466
2/22/17 4:48,2.63521
2/22/17 4:49,2.66544
2/22/17 4:50,2.6456
2/22/17 4:51,2.62776
2/22/17 4:52,2.60792
2/22/17 4:53,2.60626
2/22/17 4:54,2.63269
2/22/17 4:55,2.63902
2/22/17 4:56,2.61546
2/22/17 4:57,2.53794
2/22/17 4:58,2.54187
2/22/17 4:59,2.53829
2/22/17 5:00,2.58072
2/22/17 5:01,2.62124
2/22/17 5:02,2.63363
2/22/17 5:03,2.64291
2/22/17 5:04,2.64243
2/22/17 5:05,2.68426
2/22/17 5:06,2.71226
2/22/17 5:07,2.71667
2/22/17 5:08,2.66568
2/22/17 5:09,2.63928
2/22/17 5:10,2.65471
2/22/17 5:11,2.67335
2/22/17 5:12,2.64123
2/22/17 5:13,2.6503
2/22/17 5:14,2.65862
2/22/17 5:15,2.68105
2/22/17 5:16,2.72792
2/22/17 5:17,2.78571
2/22/17 5:18,2.74147
2/22/17 5:19,2.72306
2/22/17 5:20,2.71993
2/22/17 5:21,2.81967
2/22/17 5:22,3.55408
2/22/17 5:23,3.44606
2/22/17 5:24,2.98286
2/22/17 5:25,2.84186
2/22/17 5:26,2.78409
2/22/17 5:27,2.7981
2/22/17 5:28,2.79777
2/22/17 5:29,2.77824
2/22/17 5:30,2.77219
2/22/17 5:31,2.77635
2/22/17 5:32,2.78805
2/22/17 5:33,2.82652
2/22/17 5:34,2.81898
2/22/17 5:35,2.81531
2/22/17 5:36,2.85033
2/22/17 5:37,2.82645
2/22/17 5:38,2.92034
2/22/17 5:39,2.85667
2/22/17 5:40,2.78424
2/22/17 5:41,2.80331
2/22/17 5:42,2.76311
2/22/17 5:43,2.74565
2/22/17 5:44,2.78191
2/22/17 5:45,2.73413
2/22/17 5:46,2.72314
2/22/17 5:47,2.7436
2/22/17 5:48,2.75628
2/22/17 5:49,2.7264
2/22/17 5:50,2.71604
2/22/17 5:51,2.71234
2/22/17 5:52,2.71022
2/22/17 5:53,2.71268
2/22/17 5:54,2.74284
2/22/17 5:55,2.7895
2/22/17 5:56,2.8017
2/22/17 5:57,2.81878
2/22/17 5:58,2.85165
2/22/17 5:59,2.8574
2/22/17 6:00,2.84525
2/22/17 6:01,2.84839
2/22/17 6:02,2.84566
2/22/17 6:03,2.82156
2/22/17 6:04,2.83011
2/22/17 6:05,2.87558
2/22/17 6:06,2.89124
2/22/17 6:07,2.92616
2/22/17 6:08,3.01078
2/22/17 6:09,3.09132
2/22/17 6:10,3.08091
2/22/17 6:11,3.08618
2/22/17 6:12,3.06578
2/22/17 6:13,3.03349
2/22/17 6:14,2.92109
